Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,ORB%,Off FT/FGA,Def eFG%,Def TOV%,DRB%,Def FT/FGA,Arena,Attend.,Attend./G
Atlanta Hawks,26.2,31,33,33,31,0.75,0.22,0.97,115.3,114.6,+0.7,97.4,.251,.382,.576,.539,11.0,22.8,.202,.542,11.3,77.5,.172,State Farm Arena,516503,16141
Boston Celtics,26.0,39,27,44,22,5.50,-0.52,4.98,112.0,106.4,+5.6,96.6,.241,.419,.567,.529,12.6,24.0,.197,.498,12.5,77.2,.181,TD Garden,632148,18593
Brooklyn Nets,29.2,33,33,31,35,-0.88,0.11,-0.77,111.9,112.8,-0.9,98.9,.241,.359,.568,.531,12.4,23.3,.193,.523,11.6,75.6,.197,Barclays Center,532336,17172
Charlotte Hornets,25.6,32,34,32,34,-0.47,0.04,-0.43,112.3,112.8,-0.5,100.6,.237,.417,.562,.534,11.6,23.2,.174,.540,13.2,75.2,.190,Spectrum Center,545433,17045
Chicago Bulls,26.3,39,26,35,30,1.40,-0.44,0.96,113.8,112.4,+1.4,98.6,.241,.337,.583,.547,11.9,20.5,.195,.533,11.8,78.2,.194,United Center,706072,20767
Cleveland Cavaliers,24.8,38,27,40,25,3.42,-0.18,3.24,111.1,107.6,+3.5,96.2,.254,.391,.568,.536,13.6,24.3,.192,.512,12.6,76.3,.162,Rocket Mortgage Fieldhouse,564598,18213
Dallas Mavericks,26.7,40,25,40,25,3.42,0.02,3.43,111.7,108.1,+3.6,95.5,.241,.432,.565,.533,11.7,21.3,.184,.520,12.7,78.2,.178,American Airlines Center,666749,19610
Denver Nuggets,27.7,39,26,39,26,2.98,-0.24,2.74,113.3,110.3,+3.0,97.7,.235,.423,.583,.551,13.0,21.3,.185,.533,12.1,78.5,.182,Ball Arena,506663,16344
Detroit Pistons,23.7,18,47,16,49,-8.94,0.48,-8.46,104.6,113.7,-9.1,98.3,.246,.386,.525,.487,12.7,23.9,.191,.544,13.4,75.4,.217,Little Caesars Arena,496306,15510
Golden State Warriors,27.7,44,22,46,20,6.29,-0.18,6.11,112.2,105.9,+6.3,98.8,.235,.460,.582,.552,13.7,22.8,.179,.508,13.5,78.7,.196,Chase Center,614176,18064
Houston Rockets,24.5,16,49,16,49,-9.35,0.53,-8.83,107.4,116.7,-9.3,100.8,.288,.452,.560,.528,14.6,21.8,.204,.556,12.4,74.9,.205,Toyota Center,461197,15373
Indiana Pacers,26.4,22,45,28,39,-2.51,0.16,-2.35,111.5,114.0,-2.5,97.7,.241,.394,.559,.527,12.8,25.1,.183,.538,11.6,76.9,.206,Gainbridge Fieldhouse,481184,14152
Los Angeles Clippers,27.6,34,33,32,35,-0.76,0.11,-0.65,108.1,108.9,-0.8,98.5,.220,.389,.557,.524,12.9,20.5,.172,.511,12.3,74.6,.164,Crypto.com Arena,549833,16662
Los Angeles Lakers,30.5,28,36,28,36,-2.20,-0.30,-2.51,108.9,111.0,-2.1,100.1,.250,.387,.562,.532,13.1,21.1,.182,.531,12.7,75.9,.188,Crypto.com Arena,651418,18612
Memphis Grizzlies,23.9,45,22,44,23,4.93,-0.34,4.58,113.8,108.9,+4.9,99.9,.247,.346,.549,.518,11.3,29.9,.181,.523,13.3,77.9,.190,FedEx Forum,508351,15405
Miami Heat,28.1,44,22,44,22,5.08,-0.39,4.69,113.4,108.1,+5.3,95.7,.247,.415,.579,.543,13.4,24.6,.199,.521,14.0,78.0,.205,FTX Arena,588768,19626
Milwaukee Bucks,28.4,41,25,41,25,4.03,-0.57,3.46,114.5,110.5,+4.0,99.6,.255,.438,.578,.544,12.1,23.3,.198,.529,11.8,78.2,.164,Fiserv Forum,608268,17379
Minnesota Timberwolves,24.1,37,29,38,28,2.64,-0.06,2.58,113.1,110.5,+2.6,100.6,.246,.454,.565,.532,12.6,25.1,.189,.528,14.5,74.8,.232,Target Center,521005,15788
New Orleans Pelicans,25.7,27,38,29,36,-1.71,0.54,-1.17,110.5,112.2,-1.7,97.1,.257,.372,.553,.514,12.8,26.0,.203,.537,12.5,77.9,.198,Smoothie King Center,496385,15512
New York Knicks,26.3,27,38,29,36,-1.49,0.13,-1.36,109.3,110.9,-1.6,96.2,.269,.425,.547,.511,12.3,24.7,.200,.522,11.6,78.9,.199,Madison Square Garden (IV),586775,18337
Oklahoma City Thunder,22.6,20,45,18,47,-7.49,0.41,-7.08,103.3,110.8,-7.5,98.4,.217,.416,.522,.489,12.2,21.5,.166,.527,12.1,76.2,.163,Paycom Center,467774,14175
Orlando Magic,23.4,16,50,17,49,-7.98,0.46,-7.53,104.1,112.1,-8.0,99.4,.226,.411,.536,.500,13.1,19.8,.179,.532,12.0,76.9,.194,Amway Center,446224,14874
Philadelphia 76ers,26.6,40,24,37,27,2.44,-0.14,2.30,112.3,109.8,+2.5,96.0,.274,.368,.573,.530,11.6,19.6,.224,.516,12.2,76.3,.191,Wells Fargo Center,654415,20450
Phoenix Suns,27.6,52,13,47,18,7.65,-0.56,7.09,114.1,106.4,+7.7,99.5,.228,.354,.578,.546,11.6,22.1,.181,.505,12.9,77.2,.184,Phoenix Suns Arena,560745,16021
Portland Trail Blazers,26.4,25,39,20,44,-6.00,0.85,-5.15,108.9,114.9,-6.0,98.3,.256,.434,.555,.520,12.7,22.4,.195,.554,12.5,78.4,.206,Moda Center,581844,17113
Sacramento Kings,25.7,24,43,23,44,-5.16,0.12,-5.05,109.8,114.9,-5.1,99.9,.258,.377,.558,.523,12.5,22.2,.197,.548,11.7,76.2,.176,Golden 1 Center,464553,13663
San Antonio Spurs,24.8,25,40,32,33,-0.11,0.03,-0.08,111.8,111.9,-0.1,100.1,.205,.337,.554,.529,11.1,23.8,.151,.532,12.1,75.2,.171,AT&T Center,454842,14672
Toronto Raptors,24.6,34,30,34,30,0.98,-0.01,0.97,111.6,110.6,+1.0,96.2,.232,.376,.540,.508,11.2,27.8,.174,.535,14.6,75.0,.201,Scotiabank Arena,369143,11536
Utah Jazz,29.5,40,24,44,20,5.98,-0.35,5.63,116.3,110.2,+6.1,97.5,.264,.468,.591,.557,13.0,24.8,.205,.520,10.9,77.9,.157,Vivint Smart Home Arena,585792,18306
Washington Wizards,26.0,29,34,26,37,-2.57,0.13,-2.44,110.6,113.3,-2.7,96.8,.251,.360,.565,.529,12.2,21.2,.196,.519,10.7,76.2,.207,Capital One Arena,511343,15040
