Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,64,42.1,90.1,.468,12.9,34.4,.374,29.2,55.6,.526,18.2,22.6,.803,10.2,35.0,45.2,24.8,7.0,4.5,12.4,19.0,115.3
Boston Celtics,66,40.7,89.3,.456,13.0,37.4,.347,27.8,51.9,.535,17.6,21.6,.815,11.0,36.4,47.3,24.5,7.3,6.2,14.2,19.0,112.0
Brooklyn Nets,66,41.7,89.2,.467,11.4,32.0,.354,30.3,57.1,.531,17.2,21.5,.802,10.3,34.3,44.5,25.0,7.0,5.3,14.0,20.2,111.9
Charlotte Hornets,66,41.5,90.5,.459,13.5,37.7,.358,28.0,52.8,.531,15.7,21.4,.735,10.8,33.5,44.4,26.7,8.6,4.7,13.1,19.7,112.3
Chicago Bulls,65,42.7,88.3,.484,11.2,29.8,.376,31.5,58.5,.538,17.3,21.2,.812,8.8,34.8,43.6,24.6,7.1,4.5,13.1,19.1,113.8
Cleveland Cavaliers,65,41.1,87.9,.467,12.1,34.4,.351,29.0,53.5,.542,16.9,22.3,.758,10.8,35.7,46.5,26.2,7.4,4.5,15.4,17.7,111.1
Dallas Mavericks,65,40.9,89.4,.458,13.4,38.6,.347,27.5,50.7,.542,16.5,21.5,.765,9.8,35.3,45.0,24.5,7.4,4.3,13.0,20.7,111.7
Denver Nuggets,65,41.9,88.1,.476,13.1,37.2,.353,28.8,50.9,.566,16.3,20.7,.789,9.2,35.7,44.9,27.9,7.5,3.8,14.6,20.0,113.3
Detroit Pistons,65,38.1,89.9,.424,11.2,34.7,.322,26.9,55.1,.489,17.2,22.1,.775,11.4,32.3,43.7,23.1,7.7,4.9,14.5,22.1,104.6
Golden State Warriors,66,41.0,87.5,.469,14.6,40.2,.363,26.4,47.2,.559,15.6,20.5,.761,9.8,36.1,45.9,27.6,9.4,4.8,15.3,20.8,112.2
Houston Rockets,65,38.4,85.2,.451,13.2,38.5,.344,25.2,46.7,.539,17.4,24.5,.708,9.6,32.0,41.6,22.8,7.2,4.5,16.4,20.2,107.4
Indiana Pacers,67,41.5,90.2,.460,12.1,35.5,.340,29.4,54.6,.538,16.5,21.7,.759,11.2,34.0,45.3,25.0,6.9,5.7,14.6,20.5,111.5
Los Angeles Clippers,67,40.2,88.6,.453,12.6,34.4,.365,27.6,54.1,.510,15.3,19.5,.782,9.3,35.7,44.9,23.9,7.6,4.8,14.4,18.9,108.1
Los Angeles Lakers,64,40.6,87.3,.465,11.7,33.8,.347,28.9,53.5,.540,15.9,21.9,.727,9.4,34.3,43.8,23.5,7.9,5.6,14.6,19.7,108.9
Memphis Grizzlies,67,42.9,93.5,.459,11.0,32.4,.340,31.9,61.1,.522,17.0,23.1,.733,14.0,35.1,49.1,25.3,9.9,6.3,13.2,19.5,113.8
Miami Heat,66,41.0,88.2,.464,13.8,36.6,.377,27.2,51.6,.526,17.6,21.8,.807,10.8,35.1,45.9,26.6,7.8,3.5,15.2,21.3,113.4
Milwaukee Bucks,66,41.3,89.1,.464,14.3,39.0,.366,27.0,50.1,.540,17.6,22.8,.775,10.4,36.5,46.9,23.6,7.6,4.1,13.6,18.3,114.5
Minnesota Timberwolves,66,40.8,90.3,.452,14.4,41.0,.350,26.4,49.3,.536,17.1,22.2,.767,11.6,32.6,44.2,25.2,8.7,5.8,14.4,21.6,113.1
New Orleans Pelicans,65,40.6,89.8,.452,11.1,33.4,.331,29.6,56.4,.524,18.2,23.1,.787,11.9,34.8,46.6,25.5,7.9,4.3,14.7,20.5,110.5
New York Knicks,65,39.0,89.4,.436,13.5,38.0,.355,25.5,51.4,.496,17.9,24.1,.744,11.8,36.0,47.7,22.1,7.1,5.1,14.0,21.1,109.3
Oklahoma City Thunder,65,38.2,90.3,.423,11.8,37.5,.314,26.5,52.8,.501,15.0,19.6,.764,10.5,35.8,46.3,21.8,7.8,4.8,13.8,18.4,103.3
Orlando Magic,66,38.2,88.3,.433,11.9,36.3,.327,26.4,52.0,.507,15.8,20.0,.790,9.1,35.0,44.0,23.3,7.0,4.6,14.7,19.8,104.1
Philadelphia 76ers,64,40.6,87.5,.464,11.5,32.2,.357,29.1,55.3,.526,19.6,23.9,.818,8.7,34.9,43.5,24.0,7.9,5.6,12.8,20.1,112.3
Phoenix Suns,65,43.1,89.6,.481,11.6,31.7,.365,31.6,57.9,.545,16.2,20.4,.794,9.7,35.9,45.6,27.2,8.6,4.4,12.9,19.4,114.1
Portland Trail Blazers,64,39.1,88.1,.444,13.4,38.2,.351,25.7,49.9,.514,17.2,22.6,.763,10.3,34.0,44.3,23.0,7.8,4.6,14.3,20.8,108.9
Sacramento Kings,67,40.5,88.4,.458,11.4,33.3,.341,29.1,55.1,.529,17.4,22.8,.764,10.0,33.4,43.4,23.4,7.1,4.5,14.1,19.2,109.8
