Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,64,41.1,87.9,.468,12.6,33.6,.374,28.5,54.3,.526,17.8,22.1,.803,9.9,34.2,44.1,24.2,6.8,4.4,12.1,18.5,112.5
Boston Celtics,66,39.9,87.4,.456,12.7,36.6,.347,27.2,50.8,.535,17.2,21.1,.815,10.7,35.6,46.3,24.0,7.1,6.1,13.9,18.6,109.6
Brooklyn Nets,66,41.4,88.5,.467,11.3,31.8,.354,30.1,56.7,.531,17.1,21.3,.802,10.2,34.0,44.2,24.8,6.9,5.2,13.9,20.1,111.1
Charlotte Hornets,66,42.3,92.2,.459,13.8,38.4,.358,28.5,53.7,.531,16.0,21.8,.735,11.0,34.2,45.2,27.2,8.7,4.8,13.3,20.1,114.4
Chicago Bulls,65,42.2,87.2,.484,11.0,29.4,.376,31.1,57.8,.538,17.0,21.0,.812,8.7,34.4,43.1,24.3,7.0,4.4,13.0,18.8,112.4
Cleveland Cavaliers,65,39.5,84.6,.467,11.6,33.1,.351,27.9,51.5,.542,16.3,21.5,.758,10.4,34.4,44.7,25.2,7.2,4.3,14.8,17.1,106.9
Dallas Mavericks,65,39.2,85.7,.458,12.9,37.0,.347,26.4,48.7,.542,15.8,20.6,.765,9.4,33.8,43.2,23.5,7.1,4.1,12.5,19.8,107.1
Denver Nuggets,65,41.2,86.5,.476,12.9,36.6,.353,28.3,49.9,.566,16.0,20.3,.789,9.0,35.1,44.1,27.4,7.3,3.7,14.3,19.6,111.3
Detroit Pistons,65,37.7,88.9,.424,11.1,34.4,.322,26.7,54.6,.489,17.0,21.9,.775,11.3,31.9,43.3,22.9,7.6,4.8,14.4,21.9,103.5
Golden State Warriors,66,40.6,86.7,.469,14.5,39.8,.363,26.2,46.8,.559,15.5,20.3,.761,9.7,35.7,45.5,27.3,9.3,4.7,15.1,20.6,111.2
Houston Rockets,65,38.8,86.1,.451,13.4,38.9,.344,25.4,47.2,.539,17.6,24.8,.708,9.7,32.4,42.1,23.1,7.3,4.6,16.6,20.5,108.6
Indiana Pacers,67,41.0,89.2,.460,11.9,35.2,.340,29.1,54.0,.538,16.3,21.5,.759,11.1,33.7,44.8,24.8,6.9,5.7,14.5,20.3,110.3
