Team,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,% of 2P ast.,% of 3P ast.,Dunk % of FGA,Dunk Md.,Lay %FGA,Lay Md.,Corn %3PA,Corn 3P%,Heav Att.,Heav Md.
Atlanta Hawks,64,15385,.468,14.9,.618,.246,.165,.111,.095,.382,.526,.673,.424,.445,.414,.374,.527,.728,.060,315,.236,729,.216,.407,14,1
Boston Celtics,66,16040,.456,15.3,.581,.214,.196,.088,.083,.419,.535,.721,.443,.407,.410,.347,.501,.820,.054,279,.273,898,.227,.380,9,0
Brooklyn Nets,66,15890,.467,13.9,.641,.249,.165,.130,.096,.359,.531,.647,.430,.481,.471,.354,.539,.763,.048,243,.260,811,.229,.379,6,0
Charlotte Hornets,66,16040,.459,14.0,.583,.284,.177,.073,.048,.417,.531,.679,.379,.394,.423,.358,.539,.861,.075,404,.286,916,.279,.367,15,0
Chicago Bulls,65,15625,.484,13.9,.663,.259,.144,.131,.128,.337,.538,.679,.444,.454,.447,.376,.478,.848,.051,259,.247,808,.275,.443,11,1
Cleveland Cavaliers,65,15600,.467,13.8,.609,.283,.177,.094,.055,.391,.542,.696,.406,.419,.398,.351,.561,.820,.079,387,.242,746,.235,.339,8,1
Dallas Mavericks,65,15675,.458,15.3,.568,.203,.173,.117,.075,.432,.542,.728,.444,.449,.406,.347,.503,.798,.059,286,.203,664,.252,.401,11,0
Denver Nuggets,65,15675,.476,14.6,.577,.231,.197,.076,.073,.423,.566,.747,.459,.432,.421,.353,.581,.852,.057,282,.266,889,.255,.383,21,0
Detroit Pistons,65,15700,.424,14.0,.614,.249,.207,.083,.076,.386,.489,.633,.410,.344,.387,.322,.488,.893,.037,190,.309,944,.260,.355,18,0
Golden State Warriors,66,15890,.469,15.5,.540,.213,.194,.068,.065,.460,.559,.709,.508,.410,.371,.363,.604,.798,.062,321,.283,962,.220,.345,18,1
Houston Rockets,65,15650,.451,14.2,.548,.303,.179,.035,.030,.452,.539,.684,.381,.298,.306,.344,.492,.790,.084,408,.303,922,.180,.344,15,0
Indiana Pacers,67,16280,.460,14.1,.606,.264,.180,.093,.069,.394,.538,.677,.447,.418,.407,.340,.501,.856,.041,222,.306,1072,.251,.372,21,0
Los Angeles Clippers,67,16130,.453,14.8,.611,.207,.183,.119,.102,.389,.510,.683,.453,.431,.353,.365,.494,.813,.052,260,.213,679,.213,.403,15,0
Los Angeles Lakers,64,15585,.465,14.0,.613,.283,.156,.086,.089,.387,.540,.698,.415,.383,.406,.347,.474,.839,.063,315,.310,1016,.214,.382,5,0
Memphis Grizzlies,67,16155,.459,12.9,.654,.274,.228,.108,.044,.346,.522,.667,.417,.435,.377,.340,.500,.843,.055,306,.278,968,.233,.363,9,0
Miami Heat,66,16015,.464,14.7,.585,.228,.180,.111,.065,.415,.526,.696,.425,.424,.389,.377,.541,.859,.050,250,.243,790,.302,.424,19,0
Milwaukee Bucks,66,15890,.464,15.2,.562,.228,.161,.104,.068,.438,.540,.710,.419,.447,.398,.366,.453,.797,.046,239,.248,847,.245,.386,8,0
Minnesota Timberwolves,66,15940,.452,14.5,.546,.264,.175,.060,.047,.454,.536,.670,.421,.408,.380,.350,.517,.800,.064,334,.278,915,.223,.374,15,0
New Orleans Pelicans,65,15675,.452,13.8,.628,.266,.183,.094,.085,.372,.524,.669,.419,.451,.382,.331,.537,.874,.055,282,.291,888,.241,.374,15,2
New York Knicks,65,15700,.436,14.7,.575,.249,.160,.087,.079,.425,.496,.651,.376,.389,.367,.355,.451,.787,.067,326,.238,688,.206,.379,6,0
Oklahoma City Thunder,65,15700,.423,14.3,.584,.209,.254,.077,.045,.416,.501,.629,.440,.430,.378,.314,.458,.823,.052,255,.318,935,.202,.348,6,0
Orlando Magic,66,15890,.433,14.3,.589,.228,.226,.069,.066,.411,.507,.661,.431,.423,.325,.327,.492,.868,.062,317,.268,821,.205,.366,11,0
Philadelphia 76ers,64,15460,.464,14.0,.632,.236,.194,.125,.077,.368,.526,.699,.418,.421,.444,.357,.493,.835,.046,226,.247,765,.234,.380,9,0
Phoenix Suns,65,15625,.481,14.3,.646,.179,.229,.146,.092,.354,.545,.699,.511,.486,.426,.365,.555,.839,.052,284,.217,727,.259,.393,11,0
Portland Trail Blazers,64,15385,.444,14.9,.566,.253,.166,.072,.075,.434,.514,.626,.432,.418,.413,.351,.487,.780,.043,208,.268,794,.209,.374,6,0
Sacramento Kings,67,16155,.458,13.8,.623,.232,.221,.102,.067,.377,.529,.698,.432,.420,.430,.341,.491,.798,.061,308,.263,871,.218,.381,12,1
San Antonio Spurs,65,15725,.469,13.2,.663,.236,.232,.126,.070,.337,.528,.668,.462,.456,.407,.353,.554,.911,.036,197,.295,1007,.229,.375,6,1
Toronto Raptors,64,15485,.442,14.4,.624,.224,.203,.103,.095,.376,.496,.650,.425,.405,.383,.352,.443,.792,.056,278,.248,757,.229,.404,13,2
Utah Jazz,64,15385,.472,15.1,.532,.206,.232,.067,.027,.468,.568,.726,.485,.439,.392,.363,.454,.727,.069,343,.250,786,.238,.396,10,1
Washington Wizards,63,15270,.468,13.7,.640,.228,.235,.103,.074,.360,.541,.728,.452,.424,.414,.338,.526,.844,.064,308,.288,900,.248,.401,7,0
